idx,code,year,era,kpit,kbb,wpa,re24,whip
282,67539,2021,6.41,0.031,1.125,-0.031,-0.45,1.856
283,67539,2022,3.98,0.063,3.324,0.01,0.56,1.411
284,67539,2023,3.19,0.048,2.483,0.014,1.11,1.301
285,67588,2018,6.39,0.064,1.806,-0.003,-0.34,1.776
286,67603,2018,5.16,0.047,1.552,0.0,0.23,1.605
287,67603,2019,4.42,0.041,1.544,-0.02,0.33,1.489
288,67603,2020,5.08,0.038,1.825,-0.022,0.32,1.492
289,67603,2021,5.59,0.044,1.194,0.003,0.56,1.903
290,67645,2018,6.35,0.046,3.778,0.009,0.11,1.611
291,67828,2018,6.19,0.053,2.143,0.0,0.11,1.812
292,68043,2018,5.06,0.037,1.0,-0.03,0.22,1.902
293,68043,2019,4.96,0.039,1.4,-0.086,-0.12,1.619
294,68043,2020,6.54,0.041,1.103,0.002,0.22,1.875
295,68135,2018,3.07,0.057,4.257,0.095,1.33,1.176
296,68135,2019,2.8,0.05,3.2,0.112,1.89,1.218
297,68135,2020,4.56,0.046,2.595,-0.008,0.33,1.453
298,68200,2020,4.13,0.052,2.44,0.004,0.56,1.332
299,68200,2021,5.82,0.037,1.344,0.004,0.56,1.677
300,68220,2021,4.14,0.051,1.282,-0.015,0.61,1.673
301,68220,2022,3.78,0.054,2.3,0.024,0.86,1.456
302,68220,2023,2.25,0.044,1.452,0.165,1.33,1.167
303,68240,2018,3.55,0.054,2.638,0.081,1.33,1.3
304,68240,2019,3.43,0.052,3.324,0.037,0.83,1.297
305,68249,2022,6.71,0.032,0.95,0.0,-0.01,2.092
306,68341,2018,5.53,0.064,2.0,-0.002,0.065,1.649
307,68341,2019,5.23,0.055,2.2,-0.021,-0.61,1.542
308,68341,2021,3.24,0.06,2.767,0.059,0.97,1.254
309,68341,2022,2.1,0.074,4.129,0.186,1.97,0.984
310,68341,2023,2.24,0.075,5.174,0.13,1.61,1.063
311,68400,2018,5.3,0.052,2.397,-0.04,-0.01,1.601
312,68403,2022,5.91,0.05,1.455,0.003,0.56,1.829
313,68415,2018,5.05,0.032,1.441,-0.027,0.78,1.649
314,68419,2019,4.81,0.047,2.472,-0.006,0.335,1.547
315,68419,2020,3.58,0.049,2.412,0.097,1.88,1.295
316,68419,2021,4.65,0.039,2.243,0.003,0.09,1.508
317,68419,2023,7.68,0.027,1.538,-0.17,-2.04,1.982
318,68435,2018,5.05,0.045,2.537,-0.026,0.33,1.561
319,68501,2022,6.15,0.029,1.2,-0.006,-0.065,1.752
320,68526,2018,4.92,0.044,1.758,-0.118,-0.23,1.697
321,68529,2020,4.66,0.052,3.091,-0.075,-0.23,1.309
322,68529,2021,5.77,0.029,0.721,-0.0,0.205,1.994
323,68619,2021,3.92,0.023,1.065,0.003,0.56,1.645
324,68659,2021,7.62,0.029,0.829,-0.097,-0.78,1.84
325,68701,2020,5.64,0.035,1.16,0.0,0.035,1.791
326,68703,2019,7.98,0.037,1.125,-0.002,-0.4,2.009
327,68742,2018,5.13,0.05,2.765,-0.093,-0.23,1.702
328,68748,2018,4.72,0.064,2.434,0.014,0.75,1.422
329,68794,2018,4.23,0.051,3.444,-0.036,0.33,1.327
330,68815,2018,4.78,0.051,3.275,0.015,0.42,1.408
331,68815,2019,2.82,0.059,3.667,0.135,1.78,1.213
332,68856,2021,5.86,0.037,1.24,0.005,0.56,1.744
333,68856,2022,3.95,0.043,1.412,0.003,0.56,1.302
334,68900,2019,5.29,0.041,1.484,-0.001,0.32,1.794
335,68900,2020,5.25,0.046,4.0,-0.075,-0.23,1.436
336,68900,2021,5.37,0.039,1.5,0.02,0.32,1.539
337,68902,2020,5.79,0.036,2.0,-0.005,0.18,1.738
338,68902,2021,4.41,0.043,2.432,0.005,0.535,1.407
339,68902,2022,4.56,0.052,3.387,0.05,0.555,1.437
340,68902,2023,4.04,0.048,3.188,0.01,0.78,1.437
341,68928,2022,3.24,0.055,1.837,0.026,0.56,1.464
342,68948,2018,4.26,0.046,2.7,-0.058,0.31,1.504
343,68953,2018,5.28,0.054,2.441,-0.121,-0.67,1.587
344,69032,2019,3.62,0.047,2.143,0.082,1.89,1.239
345,69032,2020,4.05,0.043,2.435,0.017,0.85,1.272
346,69032,2021,3.96,0.063,2.843,0.056,0.565,1.369
347,69032,2023,3.76,0.049,3.625,0.038,1.33,1.122
348,69041,2019,4.75,0.033,0.935,0.002,0.56,1.796
349,69045,2019,4.01,0.039,3.704,0.043,0.89,1.297
350,69045,2020,2.85,0.055,5.706,0.128,1.33,1.122
351,69045,2023,1.95,0.064,5.857,0.273,2.77,0.942
352,69103,2019,2.52,0.045,3.116,0.143,1.89,1.197
353,69103,2020,3.29,0.053,3.512,0.084,1.89,1.192
354,69103,2021,3.05,0.049,2.297,0.049,1.63,1.33
355,69103,2022,2.59,0.057,4.079,0.195,2.33,1.117
356,69103,2023,4.48,0.044,2.588,-0.061,0.33,1.395
357,69113,2022,6.0,0.05,1.857,-0.038,0.18,1.767
358,69134,2023,4.76,0.032,2.2,0.008,0.56,1.647
359,69168,2021,4.32,0.032,0.938,-0.001,-0.23,1.76
360,69343,2019,3.28,0.051,3.356,0.037,0.89,1.269
361,69343,2020,2.14,0.048,4.6,0.154,1.33,1.096
362,69343,2021,2.93,0.046,2.848,0.13,1.82,1.23
363,69343,2022,2.61,0.052,4.308,0.136,1.33,1.152
364,69343,2023,4.39,0.046,3.643,0.05,0.555,1.523
365,69360,2020,5.28,0.029,0.852,0.0,0.16,1.782
366,69413,2019,5.05,0.048,1.515,-0.031,0.52,1.7
367,69435,2019,5.75,0.053,2.471,-0.103,-0.45,1.54
368,69439,2019,3.95,0.07,4.462,0.074,1.89,1.211
369,69439,2020,4.26,0.048,2.436,-0.073,-0.23,1.33
370,69439,2021,4.05,0.062,2.923,0.186,0.77,1.23
371,69446,2019,4.82,0.036,1.744,0.002,0.755,1.455
372,69446,2020,4.89,0.033,1.393,-0.018,0.22,1.607
373,69446,2021,3.15,0.05,2.434,0.125,1.78,1.306
374,69446,2022,3.92,0.049,3.421,0.009,0.03,1.331
375,69446,2023,3.31,0.039,2.115,0.133,1.61,1.34
376,69516,2020,7.24,0.031,0.613,-0.005,-0.71,2.289
377,69516,2021,7.88,0.03,0.75,-0.022,-0.89,2.102
378,69539,2019,5.47,0.034,1.579,0.0,-0.02,1.711
379,69539,2020,5.18,0.032,1.935,0.003,0.3,1.551
380,69539,2021,7.33,0.038,1.276,-0.004,0.245,1.963
381,69539,2022,4.8,0.043,1.957,0.006,0.47,1.55
382,69550,2019,4.74,0.057,2.609,0.041,0.78,1.309
383,69620,2019,5.56,0.032,0.754,-0.017,-0.34,1.739
384,69620,2020,5.37,0.039,1.258,-0.017,-0.015,1.75
385,69640,2019,5.46,0.045,2.086,-0.049,-0.655,1.657
386,69656,2019,4.75,0.05,2.322,-0.011,0.33,1.552
387,69744,2019,3.51,0.043,2.5,0.118,1.31,1.321
388,69744,2020,4.91,0.035,2.31,-0.054,-0.495,1.564
389,69745,2019,4.26,0.021,0.714,0.017,0.82,1.711
390,69745,2020,6.82,0.032,0.932,-0.079,-0.47,1.902
391,69748,2019,3.5,0.047,2.127,0.031,1.33,1.365
392,69748,2020,5.96,0.045,1.743,-0.122,-1.065,1.636
393,69762,2019,5.1,0.035,0.7,-0.005,-0.42,1.833
394,69762,2022,4.59,0.025,0.696,-0.003,-0.03,1.98
395,69839,2023,3.86,0.043,1.529,0.015,0.56,1.429
396,69861,2019,4.34,0.046,2.925,-0.042,-0.12,1.413
397,69934,2019,4.76,0.039,1.75,-0.061,0.33,1.48
398,69940,2019,3.05,0.044,2.644,0.14,1.89,1.241
399,69940,2020,2.89,0.055,2.902,0.107,1.68,1.316
400,69940,2021,3.17,0.06,3.218,0.151,1.78,1.259
401,69940,2022,2.97,0.065,5.706,0.145,1.89,1.172
402,69953,2019,3.0,0.049,2.417,0.109,1.33,1.32
403,69962,2020,3.46,0.048,1.878,0.011,0.56,1.324
404,69962,2021,5.91,0.045,1.759,-0.047,0.315,1.743
405,69962,2022,4.51,0.052,1.963,-0.039,-0.51,1.718
406,69962,2023,5.12,0.035,1.228,-0.003,-0.08,1.804
407,69974,2021,4.95,0.032,1.353,0.002,0.56,1.8
408,70425,2018,6.63,0.049,3.133,-0.083,-1.23,1.635
409,72535,2018,5.32,0.034,2.778,0.002,0.13,1.568
410,73211,2018,4.08,0.042,2.967,0.0,0.42,1.224
411,73211,2020,4.87,0.036,1.925,-0.022,0.33,1.383
412,73211,2021,7.35,0.033,1.458,-0.078,-1.13,1.899
413,73211,2022,3.12,0.045,2.417,0.046,0.56,1.195
414,73738,2018,5.86,0.044,3.0,0.01,0.31,1.576
415,73750,2018,5.89,0.052,2.7,-0.126,-1.21,1.607
416,73801,2020,4.4,0.031,1.5,0.007,0.56,1.57
417,74454,2018,6.98,0.044,2.781,-0.208,-1.78,1.747
418,74454,2019,4.77,0.028,1.3,-0.045,0.11,1.548
419,74513,2018,10.05,0.034,1.278,-0.123,-1.13,2.093
420,74838,2018,4.86,0.053,5.625,0.003,0.56,1.286
421,75258,2018,5.41,0.029,1.162,-0.133,-0.5,1.842
422,75258,2019,5.05,0.026,1.04,-0.036,0.555,1.719
423,75340,2019,3.39,0.045,2.556,0.006,0.385,1.387
424,75620,2018,6.64,0.042,2.636,0.018,-0.03,1.672
425,76225,2019,4.46,0.039,1.593,0.004,0.54,1.59
426,76355,2018,6.16,0.039,2.077,-0.046,-0.18,1.605
427,76355,2020,7.68,0.026,1.5,-0.003,-0.75,1.853
428,76455,2018,6.09,0.046,1.722,-0.087,-0.64,1.576
429,76455,2019,3.99,0.044,2.097,0.05,0.835,1.438
430,76455,2020,5.34,0.044,1.821,0.023,0.26,1.594
431,76610,2018,6.69,0.041,2.5,0.003,0.11,1.821
432,77211,2018,3.74,0.046,2.595,0.09,1.11,1.391
433,77211,2019,3.92,0.043,2.167,0.086,1.33,1.49
434,77318,2019,4.95,0.05,1.879,-0.004,0.7,1.66
435,77318,2020,5.02,0.047,1.554,-0.158,-0.645,1.666
436,77318,2021,7.04,0.035,0.979,-0.034,-0.45,2.072
437,77446,2018,4.58,0.046,2.75,0.015,0.67,1.44
438,77446,2019,4.24,0.032,1.464,-0.1,-0.55,1.401
439,77446,2020,5.19,0.044,2.706,-0.124,-0.67,1.441
440,77446,2021,2.83,0.043,2.037,0.068,1.695,1.289
441,77446,2022,5.2,0.034,1.892,-0.071,-0.235,1.612
442,77446,2023,3.95,0.043,1.815,0.057,1.33,1.302
443,77591,2018,6.15,0.047,1.943,-0.104,-0.4,1.671
444,77637,2018,4.05,0.052,3.444,-0.034,0.74,1.325
445,77637,2019,2.29,0.06,4.939,0.181,2.33,1.083
446,77637,2020,4.7,0.051,2.328,-0.021,0.89,1.445
447,77637,2022,3.85,0.049,2.82,0.063,0.55,1.278
448,77637,2023,3.86,0.053,3.083,0.041,0.78,1.515
449,77829,2018,3.08,0.063,4.667,0.096,1.63,1.157
450,77829,2019,2.44,0.063,4.821,0.141,1.48,1.254
451,77829,2022,2.24,0.058,3.196,0.095,1.33,1.148
452,77829,2023,3.67,0.05,2.018,0.011,0.78,1.37
453,77927,2020,5.75,0.039,1.625,0.002,0.56,1.722
454,77927,2022,5.7,0.034,1.133,0.005,0.36,1.933
455,78148,2020,3.39,0.048,2.719,0.022,0.855,1.368
456,78148,2021,4.28,0.032,2.069,0.059,1.33,1.478
457,78148,2022,5.24,0.03,1.536,-0.092,-0.78,1.623
458,78148,2023,3.4,0.035,3.25,0.148,2.33,0.898
459,78517,2020,6.05,0.034,0.963,0.003,0.56,1.632
460,78536,2020,3.1,0.054,1.654,0.003,0.56,1.561
461,79229,2018,6.73,0.033,1.929,-0.111,-0.82,1.722
462,79229,2019,3.44,0.024,1.488,0.088,1.59,1.345
463,79229,2020,5.0,0.023,1.436,-0.122,-0.67,1.749
464,79229,2021,7.71,0.019,0.958,-0.201,-1.57,2.127
465,79764,2018,4.64,0.044,1.84,0.001,0.56,1.422
466,79764,2019,5.43,0.054,3.815,-0.085,-0.7,1.534
467,79764,2020,6.75,0.033,2.462,-0.002,0.315,1.762
468,79764,2022,3.55,0.035,1.923,0.014,0.715,1.326
469,79764,2023,4.53,0.047,2.857,-0.027,0.22,1.452
470,79847,2018,3.51,0.062,2.488,0.021,0.56,1.39
471,79847,2020,7.4,0.039,1.103,-0.041,-0.26,1.677
472,95657,2018,5.48,0.054,2.897,0.031,0.5,1.552
473,99563,2018,5.76,0.044,3.5,-0.002,0.03,1.522
